date,btc_predicted_price
2025-04-20,86185.86613598179
2025-04-21,86406.4509972236
2025-04-22,86196.77236728433
2025-04-23,85973.14691177811
2025-04-24,84616.53635461883
2025-04-25,84351.20007827501
2025-04-26,84114.42868188927
2025-04-27,83938.59382005778
2025-04-28,83333.39430758906
2025-04-29,82819.87115426837
2025-04-30,82451.60492809971
2025-05-01,82440.92019849032
2025-05-02,82688.69192512658
2025-05-03,82871.3607001713
2025-05-04,83536.7779034335
2025-05-05,84734.2927378053
2025-05-06,85841.60646699551
2025-05-07,86559.30866739404
2025-05-08,86316.1380028739
2025-05-09,85942.31217289333
2025-05-10,85909.69141536076
2025-05-11,85685.13966192686
2025-05-12,85457.73383347971
2025-05-13,84983.10323158963
2025-05-14,84856.50044530148
2025-05-15,85418.63257890238
2025-05-16,85276.81643694517
2025-05-17,84921.20371702348
2025-05-18,84244.85232760118
2025-05-19,83894.0177384499
2025-05-20,83638.15430442798
2025-05-21,83120.09575064569
2025-05-22,83133.03082894279
2025-05-23,82817.69905371407
2025-05-24,82762.68033004756
2025-05-25,83020.9784194861
2025-05-26,83583.46880873774
2025-05-27,83353.51384979555
2025-05-28,82816.4058094867
2025-05-29,82514.63808903268
2025-05-30,81452.01595841607
2025-05-31,80696.14829606432
2025-06-01,79515.85176975385
2025-06-02,79166.3808683658
2025-06-03,79483.48621265715
2025-06-04,79575.44212042377
2025-06-05,79160.3851231342
2025-06-06,78386.822378617
2025-06-07,77612.22562283571
2025-06-08,76807.94606413881
