published_date,price_xrp
2024-07-26,0.6034
2024-08-01,0.5964
2024-08-02,0.5607
2024-08-04,0.5228
2024-08-05,0.4889
2024-08-09,0.5805
2024-08-29,0.5619
2024-09-04,0.5579
2024-09-05,0.5444
2024-09-06,0.5211
2024-09-13,0.5728
2024-09-14,0.5956
2024-09-16,0.5866
2024-09-27,0.5888
2024-10-03,0.5217
2024-10-04,0.534
2024-10-14,0.5483
2024-11-02,0.5103
2024-11-12,0.704
2024-11-17,1.0543
2024-11-25,1.4142
2024-11-30,1.9513
2024-12-01,2.2937
2024-12-02,2.7245
2024-12-03,2.5102
2024-12-04,2.3574
2024-12-11,2.3941
2024-12-12,2.3384
2024-12-14,2.4005
2024-12-17,2.5673
2024-12-22,2.2031
2024-12-28,2.1843
2025-01-01,2.3328
2025-01-05,2.3994
2025-01-08,2.3731
2025-01-09,2.2722
2025-01-10,2.3414
2025-01-11,2.5764
2025-01-13,2.5232
2025-01-14,2.6673
2025-01-15,3.1429
2025-01-16,3.2451
2025-01-19,2.9587
2025-01-21,3.1738
2025-01-22,3.1803
2025-01-27,3.0552
2025-01-28,3.0572
2025-01-29,3.0682999999999994
2025-01-31,3.0361
2025-02-02,2.58
2025-02-04,2.5274
2025-02-05,2.381
2025-02-07,2.3968
2025-02-08,2.419
2025-02-09,2.3928
2025-02-11,2.4131
2025-02-12,2.4734
2025-02-13,2.5599
2025-02-14,2.7384
2025-02-15,2.7619
2025-02-17,2.6599
2025-02-18,2.5628
2025-02-19,2.7378
2025-02-20,2.6877
2025-02-21,2.5721
2025-02-23,2.5763
2025-02-26,2.1982
2025-02-27,2.1985
2025-02-28,2.1453
2025-03-02,2.9396
2025-03-03,2.3873
2025-03-04,2.4543
2025-03-05,2.4998
2025-03-09,2.1387
2025-03-12,2.2396
2025-03-13,2.2527
2025-03-14,2.3564
2025-03-16,2.2938
2025-03-18,2.2851
2025-03-19,2.5469
2025-03-20,2.4361
2025-03-23,2.4393
2025-03-24,2.4501
2025-03-25,2.4492
2025-03-26,2.3494
2025-03-31,2.0899
2025-04-01,2.1387
2025-04-02,2.0237
2025-04-04,2.1302
2025-04-08,1.7963
2025-04-10,1.9658
2025-04-12,2.1598
2025-04-13,2.1196
2025-04-17,2.0673
